30647274,41.3836,2.18065,101.262
240934857,41.3838,2.17982,172.166
30227495,41.384,2.17875,266.491
30297907,41.3835,2.17774,384.687
209137015,41.3826,2.17666,518.586
209132796,41.3821,2.17576,615.164
30252198,41.3818,2.17528,676.439
30252194,41.3814,2.17378,809.284
1400723038,41.3813,2.17333,855.172
546558621,41.3812,2.17313,875.065
1400723029,41.3812,2.173,887.408
30227475,41.3809,2.1722,963.137
30227473,41.3808,2.17178,999.419
30227035,41.3806,2.1708,1087.02
30227467,41.3801,2.16915,1235.04
30227464,41.3796,2.16818,1337.39
30227461,41.3796,2.16742,1408.05
30884292,41.3795,2.16639,1494.72
30227452,41.3791,2.16476,1638.62
30227448,41.3786,2.16319,1781.19
30238197,41.376,2.15986,2185.29
905811221,41.375,2.15856,2354.12
30298842,41.375,2.15401,2733.27
26057048,41.3751,2.14969,3094.13
1193548807,41.3748,2.14957,3133.08
803435595,41.3746,2.14925,3164.12
26057050,41.3748,2.14866,3220.71
760332200,41.373,2.14629,3504.13
760332209,41.3712,2.14396,3779.45
760332202,41.37,2.14236,3968.67
760332148,41.3679,2.1396,4296.39
463272130,41.3675,2.13944,4358.18
463272139,41.3548,2.1169,6747.95
1500119409,41.3547,2.11552,6863.8
1118396240,41.3484,2.11484,7569.37
1066620300,41.3408,2.11408,8416.05
1066620294,41.3388,2.11242,8678.99
1066620278,41.3368,2.10776,9126.64
1066620743,41.3336,2.09791,10023.4
1066620731,41.3295,2.08616,11106.8
1066620726,41.3269,2.0785,11809.8
1066620715,41.3202,2.0592,13583.9
1066620702,41.3182,2.0533,14126.3
1066620695,41.3111,2.03293,15997.6
1324546086,41.3054,2.01639,17517.8
1324546074,41.3043,2.01325,17809
1324546073,41.3028,2.0101,18120
1066620686,41.3015,2.00789,18355.2
1066620680,41.2955,2.00034,19272.3
1066620878,41.29,1.9934,20121
213850148,41.2811,1.98232,21474.6
970923304,41.2746,1.97423,22458.6
46920784,41.2706,1.96913,23081.9
